x,y,peso_kg
-77.035,-12.0464,0
-76.92012,-12.14745,11
-77.05135,-12.05368,6
-76.96673,-12.10885,2
-77.10811,-12.06944,2
-76.99425,-12.07443,3
-77.10951,-12.01061,13
-76.8971,-12.04467,17
-77.12026,-12.06355,16
-76.9808,-12.13065,7
-77.02438,-12.04272,4
-77.09284,-12.04471,12
-77.0182,-11.97715,16
-77.01628,-12.11073,5
-76.9965,-12.13993,17
-77.10335,-12.05045,5
-76.90527,-12.12988,3
-76.97758,-11.96052,3
-77.01919,-11.95747,4
-77.07308,-11.96038,14
-77.09599,-12.04986,16
-77.14102,-12.05392,7
-76.97663,-12.04782,9
-77.09914,-12.07643,2
-77.04549,-12.09302,15
-76.94215,-11.97701,15
-76.91867,-12.00839,11
-77.05097,-12.10224,3
-76.93857,-12.14223,6
-77.0769,-12.04754,15
-77.10046,-11.96518,4
-77.07539,-12.02041,5
-77.10418,-12.04722,17
-76.96023,-12.08063,2
-77.12151,-12.07064,15
-76.90269,-12.07681,10
-77.03555,-12.02031,7
-77.02268,-12.10246,4
-76.92078,-12.08576,2
-76.98146,-12.03793,11
-76.97925,-12.07945,11
-77.09337,-11.96966,7
-77.06149,-12.07689,17
-76.95834,-11.97949,10
-76.97651,-12.08436,10
-76.89335,-12.13428,13
-77.13909,-12.06783,5
-77.09229,-12.00337,2
-76.89487,-12.03182,3
-77.11388,-12.0463,4
-77.1195,-12.0581,13
-76.91375,-12.0275,7
-76.96121,-11.95798,6
-76.99892,-12.13578,11
-77.01046,-12.00315,3
-77.00119,-12.04081,12
-76.95789,-12.11828,15
-76.98424,-12.05335,9
-76.96146,-11.97065,11
-76.90242,-12.03097,13
-77.06357,-12.00246,3
-77.03237,-12.09144,8
-76.95768,-12.05263,8
-77.08156,-12.07623,3
-77.08161,-12.07525,7
-77.00499,-12.07798,9
-76.90256,-12.15764,11
-76.93991,-12.04412,2
-77.01981,-12.03416,15
-76.94214,-12.12684,16
-76.89524,-12.0262,15
-77.09872,-12.01021,15
-77.06065,-11.96031,10
-76.96862,-12.13485,4
-76.95966,-11.99457,16
-77.0181,-12.13952,4
-77.05142,-12.02084,11
-77.02436,-12.1212,8
-76.93146,-12.00059,11
-77.03188,-12.05035,11
-77.07531,-12.00981,9
-76.9487,-12.04536,6
-77.13089,-11.97041,11
-76.93836,-12.14834,4
-76.90065,-12.1579,17
-76.90199,-12.03229,18
-77.09599,-12.05063,15
-76.89211,-12.0292,8
-76.91226,-12.02641,4
-76.98605,-12.13735,8
-77.03316,-12.01035,6
-77.0972,-11.97043,14
-76.95743,-12.04545,15
-76.94657,-12.03136,6
-76.98914,-11.96749,15
-77.04218,-12.10491,3
-77.00668,-11.96012,15
-76.95939,-12.1237,7
-77.02376,-12.05228,8
-76.93504,-12.1091,5
-76.93954,-12.01419,6
